dataset,cardinality,k,throughput,recall
fashion-mnist,60000,10,2190,0.950
fashion-mnist,120000,10,2120,0.927
fashion-mnist,240000,10,2040,0.898
fashion-mnist,480000,10,1930,0.857
fashion-mnist,960000,10,1840,0.862
fashion-mnist,1920000,10,1850,0.775
fashion-mnist,3840000,10,1780,0.677
fashion-mnist,7680000,10,1660,0.538
fashion-mnist,15360000,10,1600,0.592
fashion-mnist,30720000,10,1830,0.581
glove-25,1183514,10,2830,0.835
glove-25,2367028,10,2700,0.832
glove-25,4734056,10,2610,0.839
glove-25,9468112,10,2510,0.834
glove-25,18936224,10,2230,0.885
glove-25,37872448,10,2010,0.764
glove-25,75744896,10,1830,0.631
sift,1000000,10,3980,0.686
sift,2000000,10,3800,0.614
sift,4000000,10,3690,0.637
sift,8000000,10,3580,0.710
sift,16000000,10,3500,0.690
sift,32000000,10,3440,0.639
sift,64000000,10,3390,0.678
sift,128000000,10,3360,0.643
random,1000000,10,4280,0.028
random,2000000,10,4040,0.021
random,4000000,10,3640,0.014
random,8000000,10,3370,0.013
random,16000000,10,3170,0.006
random,32000000,10,3010,0.007
