dataset,cardinality,k,throughput
fashion-mnist,60000,10,2010
fashion-mnist,120000,10,939
fashion-mnist,240000,10,461
fashion-mnist,480000,10,226
fashion-mnist,960000,10,117
fashion-mnist,1920000,10,59.1
fashion-mnist,3840000,10,26.1
fashion-mnist,7680000,10,13.3
fashion-mnist,15360000,10,6.65
fashion-mnist,30720000,10,3.56
glove-25,1183514,10,2380
glove-25,2367028,10,1190
glove-25,4734056,10,619
glove-25,9468112,10,303
glove-25,18936224,10,151
glove-25,37872448,10,74.0
glove-25,75744896,10,37.7
glove-25,151489792,10,19.0
glove-25,302979584,10,9.47
sift,1000000,10,698
sift,2000000,10,330
sift,4000000,10,165
sift,8000000,10,77.2
sift,16000000,10,39.8
sift,32000000,10,20.9
sift,64000000,10,8.87
sift,128000000,10,4.78
random,1000000,10,734
random,2000000,10,358
random,4000000,10,190
random,8000000,10,88.4
random,16000000,10,43.6
random,32000000,10,17.2
