dataset,cardinality,k,throughput,recall
fashion-mnist,60000,10,13300,0.954
fashion-mnist,120000,10,13800,0.803
fashion-mnist,240000,10,16600,0.681
fashion-mnist,480000,10,16800,0.525
fashion-mnist,960000,10,18700,0.494
fashion-mnist,1920000,10,15600,0.542
fashion-mnist,3840000,10,15000,0.378
fashion-mnist,7680000,10,14900,0.357
glove-25,1183514,10,22800,0.801
glove-25,2367028,10,23800,0.607
glove-25,4734056,10,25000,0.443
glove-25,9468112,10,27800,0.294
glove-25,18936224,10,31100,0.213
glove-25,37872448,10,32400,0.178
sift,1000000,10,19300,0.686
sift,2000000,10,20300,0.552
sift,4000000,10,21800,0.394
sift,8000000,10,24800,0.298
sift,16000000,10,26800,0.210
sift,32000000,10,27500,0.193
random,1000000,10,11700,0.060
random,2000000,10,10100,0.048
random,4000000,10,9120,0.031
random,8000000,10,8350,0.022
random,16000000,10,8250,0.008
